date,month,balance,vesting_percent,interest_earned,risk_event
2026-01-25 10:40:10.580533,0,1200.0,0.8,0.0,False
2026-02-24 10:40:10.580533,1,2404.41,1.6,4.41,False
2026-03-26 10:40:10.580533,2,3613.25,2.41,8.84,False
2026-04-25 10:40:10.580533,3,4826.52,3.22,13.28,False
2026-05-25 10:40:10.580533,4,6044.26,4.03,17.74,False
2026-06-24 10:40:10.580533,5,7266.47,4.84,22.21,False
2026-07-24 10:40:10.580533,6,8493.17,5.66,26.7,False
2026-08-23 10:40:10.580533,7,9724.39,6.48,31.21,False
2026-09-22 10:40:10.580533,8,10960.12,7.31,35.74,False
2026-10-22 10:40:10.580533,9,12200.4,8.13,40.28,False
2026-11-21 10:40:10.580533,10,13445.23,8.96,44.83,False
2026-12-21 10:40:10.580533,11,14694.64,9.8,49.41,False
2027-01-20 10:40:10.580533,12,15948.64,10.63,54.0,False
2027-02-19 10:40:10.580533,13,17207.25,11.47,58.61,False
2027-03-21 10:40:10.580533,14,18470.48,12.31,63.23,False
2027-04-20 10:40:10.580533,15,19738.36,13.16,67.88,False
2027-05-20 10:40:10.580533,16,21010.89,14.01,72.53,False
2027-06-19 10:40:10.580533,17,22288.1,14.86,77.21,False
2027-07-19 10:40:10.580533,18,23570.01,15.71,81.9,False
2027-08-18 10:40:10.580533,19,24856.62,16.57,86.62,False
2027-09-17 10:40:10.580533,20,26147.97,17.43,91.34,False
2027-10-17 10:40:10.580533,21,27444.05,18.3,96.09,False
2027-11-16 10:40:10.580533,22,28744.91,19.16,100.85,False
2027-12-16 10:40:10.580533,23,30050.54,20.03,105.63,False
2028-01-15 10:40:10.580533,24,31360.97,20.91,110.43,False
2028-02-14 10:40:10.580533,25,32676.21,21.78,115.25,False
2028-03-15 10:40:10.580533,26,33996.29,22.66,120.08,False
2028-04-14 10:40:10.580533,27,35321.22,23.55,124.93,False
2028-05-14 10:40:10.580533,28,36651.02,24.43,129.8,False
2028-06-13 10:40:10.580533,29,37985.71,25.32,134.69,False
2028-07-13 10:40:10.580533,30,39325.3,26.22,139.59,False
2028-08-12 10:40:10.580533,31,40669.81,27.11,144.51,False
2028-09-11 10:40:10.580533,32,42019.26,28.01,149.45,False
2028-10-11 10:40:10.580533,33,43373.68,28.92,154.41,False
2028-11-10 10:40:10.580533,34,44733.07,29.82,159.39,False
2028-12-10 10:40:10.580533,35,46097.45,30.73,164.39,False
2029-01-09 10:40:10.580533,36,47466.85,31.64,169.4,False
2029-02-08 10:40:10.580533,37,48841.28,32.56,174.43,False
2029-03-10 10:40:10.580533,38,50220.77,33.48,179.48,False
2029-04-09 10:40:10.580533,39,51605.32,34.4,184.55,False
2029-05-09 10:40:10.580533,40,52994.96,35.33,189.64,False
2029-06-08 10:40:10.580533,41,54389.7,36.26,194.75,False
2029-07-08 10:40:10.580533,42,55789.58,37.19,199.87,False
2029-08-07 10:40:10.580533,43,57194.59,38.13,205.02,False
2029-09-06 10:40:10.580533,44,58604.77,39.07,210.18,False
2029-10-06 10:40:10.580533,45,60020.13,40.01,215.36,False
2029-11-05 10:40:10.580533,46,61440.69,40.96,220.56,False
2029-12-05 10:40:10.580533,47,62866.48,41.91,225.78,False
2030-01-04 10:40:10.580533,48,64297.5,42.86,231.02,False
2030-02-03 10:40:10.580533,49,65733.78,43.82,236.28,False
2030-03-05 10:40:10.580533,50,67175.34,44.78,241.56,False
2030-04-04 10:40:10.580533,51,68622.2,45.75,246.86,False
2030-05-04 10:40:10.580533,52,70074.37,46.72,252.17,False
2030-06-03 10:40:10.580533,53,71531.88,47.69,257.51,False
2030-07-03 10:40:10.580533,54,72994.75,48.66,262.87,False
2030-08-02 10:40:10.580533,55,74462.99,49.64,268.24,False
2030-09-01 10:40:10.580533,56,75936.62,50.62,273.64,False
